Time,Sum of Playercount
7/17/2020,23781880
7/18/2020,24466415
7/19/2020,25727603
7/20/2020,23175963
7/21/2020,22645525
7/22/2020,22885273
7/23/2020,22429835
7/24/2020,22611125
7/25/2020,23955161
7/26/2020,24810588
7/27/2020,22944021
7/28/2020,22643993
7/29/2020,22726822
7/30/2020,22760900
7/31/2020,22581475
8/1/2020,23804182
8/2/2020,24722094
8/3/2020,22792101
8/4/2020,22158758
8/5/2020,21354549
8/6/2020,21330669
8/7/2020,21569897
8/8/2020,23675922
8/9/2020,24957778
8/10/2020,23465320
8/11/2020,27027944
8/12/2020,27795590
